Feedback,Sentiment
"My overall experience with the classroom facilities and equipment at USM is satisfactory. However, there are still areas that need improvement. The standard classrooms are functional; however, some armchairs are not comfortable because they are already worn out or broken which affects comfort during long lectures. In terms of lighting, most classrooms are too dim or have lights that are not functioning properly, which can affect students’ focus during discussions, especially for 4:00 to 5:00 PM classes. One of the main problems is the ventilation of the classrooms. Some air conditioners are not functioning, so the rooms rely heavily on electric fans. Sometimes, the electric fans are not enough to maintain a comfortable temperature. As we all know, the heat in Kabacan can be intense. This greatly affects the class because it makes the room feel stuffy, making it difficult to concentrate and stay focused. Regarding technology, projectors are available in some classrooms but not in all. There are also instances when technical issues occur while using them, which can disrupt class discussions. Sometimes, one projector is shared by two or more classes, which leads to situations where it cannot be used, and students just need to listen carefully to the professor. These issues sometimes interrupt the flow of the lesson and reduce the efficiency of class discussions.",Positive
"As a student at University of Southern Mindanao, my experience with the classroom facilities is generally okay, but there are some concerns. One of the main issues is the seating. Many classrooms still use wooden armchairs, and some of them are already old or uncomfortable. The chairs are also not very plus-size friendly because the armrests are narrow, which can make it difficult for some students to sit comfortably during long classes. The lighting and ventilation are acceptable in some classrooms, but others can feel dim or too warm, especially during hot days. This sometimes makes it harder to focus during lectures. Some rooms also have projectors, which help with presentations, but there are times when the equipment is unavailable or not working. In the overall factor, improving the seating, ventilation, lighting, and classroom technology would help create a more comfortable learning environment and make it easier for students to concentrate during class.",Neutral
"My overall experience with the classroom facilities and equipment at the University of Southern Mindanao has been generally satisfactory, but there are still areas that need improvement. The seating in most standard classrooms is adequate. 

In terms of lighting, most classrooms are well-lit during the day because of natural light from the windows. However, in some rooms, the artificial lighting is either too dim or not evenly distributed, making it harder to clearly see the board or presentation slides. Proper lighting is very important because it helps reduce eye strain and keeps students alert.

Ventilation varies depending on the classroom. Some rooms are well-ventilated with enough windows and functioning electric fans, while others can feel warm and crowded, especially during peak hours. Poor ventilation makes it difficult to concentrate because discomfort and heat can easily distract students from the lesson.

When it comes to technology, such as projectors, the availability is helpful for visual learning. 

Overall, while the facilities are usable and support basic learning needs, improvements in seating comfort, lighting consistency, ventilation, and updated technology would greatly enhance students’ concentration, engagement, and overall academic performance. A comfortable and well-equipped classroom environment plays a big role in creating a productive and positive learning experience.
",Positive
"To be honest, I'm not really satisfied with my overall experience from first year until now. It was not good enough to keep me engaged during classes, especially in the rooms at the old building. The lights and chairs are broken, and the electric fans aren't functioning well. As for projectors, it depends on the teacher if they're going to use one, since they rely on availability from their department. Projectors help students like me focus more than just using mobile phones.

Among these concerns, only the damaged fans affect my learning inside the classroom. Some rooms have a fan, but it's not enough to help students feel comfortable. Some rooms have 1 stand fan, and some sockets are damaged too. Imagine! Given the weather here in Kabacan, I feel uncomfortable. If the temperature is hot, we focus more on using ""paypay"" or hand fans than the lessons of the teacher in front.",Negative
The ventilation in the CED building is so poor that it’s hard to focus on the lecture.,Negative
Most of the armchairs in our classroom are broken and very uncomfortable to sit on.,Negative
The Wi-Fi signal in the Main Building never seems to work when we actually need it for research.,Negative
It’s way too dim in Room 204 because half of the fluorescent lights are flickering or dead.,Negative
The air conditioning in the computer lab is always leaking water onto the floor.,Negative
"Our classroom feels way too crowded for 50 students, making it very stuffy and hot.",Negative
The whiteboards are so stained and old that you can barely see what the professor is writing.,Negative
The restrooms near our classrooms are always out of water and smell very bad.,Negative
